site_name,Latitude,Longitude
549,49.55,25.61666667
550,18.46618,-98.97939
551,18.47196,-99.04578
552,18.47008,-99.04201
553,18.43558,-99.01986
554,18.43302,-99.02001
555,18.46618,-98.97939
556,18.47196,-99.04578
557,18.47008,-99.04201
558,18.43558,-99.01986
559,18.43302,-99.02001
560,18.46618,-98.97939
561,18.47196,-99.04578
562,18.47008,-99.04201
563,18.43558,-99.01986
564,18.43302,-99.02001
565,18.46618,-98.97939
566,18.47196,-99.04578
567,18.47008,-99.04201
568,18.43558,-99.01986
569,18.43302,-99.02001
570,33.2016,-81.7532
571,33.2016,-81.7532
572,33.2016,-81.7532
573,33.2016,-81.7532
574,33.2016,-81.7532
575,33.2016,-81.7532
576,33.2016,-81.7532
577,33.2016,-81.7532
578,39.33438,16.535475
579,39.1934,16.8712
580,39.20412,17.14663
581,33.22404,-81.74678
582,33.22404,-81.74678
583,33.22404,-81.74678
584,33.22404,-81.74678
585,33.19765,-81.75231
586,33.19765,-81.75231
